File Name,Column 1 Header,Column 2 Header,Column 3 Header,Column 4 Header,Column 5 Header,Column 6 Header,Column 7 Header,Column 8 Header
MMO-136-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-137-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-138-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-140-12-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-141-20-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-142-20-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-143-20-Labor-Lookup.csv,Machine Type,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-144-20-Labor-Lookup.csv,Machine Type,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-145-12-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-146-11-Labor-Lookup.csv,Machine Type,Operation (days/wk),Total (hrs/yr),,,,,
MMO-147-12-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-148-19-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-149-15-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-150-15-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-154-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-157-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-158-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-159-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-160-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-161-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-166-19-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-166-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-167-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
