Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
206,6,2,728.78,218.634,947.414,94.7414,1042.1554,478.4,1520.5554
222,6,2,744.6,223.38,967.98,96.798,1064.778,478.4,1543.178
238,6,2,760.33,228.099,988.429,98.8429,1087.2719,478.4,1565.6719
254,6,2,781.25,234.375,1015.625,101.5625,1117.1875,478.4,1595.5875
270,6,2,797.01,239.103,1036.113,103.6113,1139.7243,478.4,1618.1243
286,6,2,812.83,243.849,1056.679,105.6679,1162.3469,478.4,1640.7469
302,6,2,828.56,248.568,1077.128,107.7128,1184.8408,478.4,1663.2408
110,7,2,698.93,209.679,908.609,90.8609,999.4699,558.14,1557.6099
126,7,2,721.74,216.522,938.262,93.8262,1032.0882,558.14,1590.2282
142,7,2,738.37,221.511,959.881,95.9881,1055.8691,558.14,1614.0091
158,7,2,755.05,226.515,981.565,98.1565,1079.7215,558.14,1637.8615
174,7,2,771.65,231.495,1003.145,100.3145,1103.4595,558.14,1661.5995
190,7,2,794.51,238.353,1032.863,103.2863,1136.1493,558.14,1694.2893
206,7,2,811.11,243.333,1054.443,105.4443,1159.8873,558.14,1718.0273
222,7,2,827.8,248.34,1076.14,107.614,1183.754,558.14,1741.894
238,7,2,844.4,253.32,1097.72,109.772,1207.492,558.14,1765.632
254,7,2,867.05,260.115,1127.165,112.7165,1239.8815,558.14,1798.0215
270,7,2,883.68,265.104,1148.784,114.8784,1263.6624,558.14,1821.8024
286,7,2,900.36,270.108,1170.468,117.0468,1287.5148,558.14,1845.6548
302,7,2,916.96,275.088,1192.048,119.2048,1311.2528,558.14,1869.3928
110,5,3,548.13,164.439,712.569,71.2569,783.8259,597.99,1381.8159
126,5,3,567.48,170.244,737.724,73.7724,811.4964,597.99,1409.4864
142,5,3,582.37,174.711,757.081,75.7081,832.7891,597.99,1430.7791
158,5,3,597.31,179.193,776.503,77.6503,854.1533,597.99,1452.1433
174,5,3,612.19,183.657,795.847,79.5847,875.4317,597.99,1473.4217
190,5,3,631.57,189.471,821.041,82.1041,903.1451,597.99,1501.1351
206,5,3,646.45,193.935,840.385,84.0385,924.4235,597.99,1522.4135
222,5,3,661.4,198.42,859.82,85.982,945.802,597.99,1543.792
238,5,3,676.26,202.878,879.138,87.9138,967.0518,597.99,1565.0418
254,5,3,695.45,208.635,904.085,90.4085,994.4935,597.99,1592.4835
270,5,3,710.34,213.102,923.442,92.3442,1015.7862,597.99,1613.7762
286,5,3,725.3,217.59,942.89,94.289,1037.179,597.99,1635.169
302,5,3,740.16,222.048,962.208,96.2208,1058.4288,597.99,1656.4188
110,6,3,623.53,187.059,810.589,81.0589,891.6479,717.6,1609.2479
126,6,3,644.61,193.383,837.993,83.7993,921.7923,717.6,1639.3923
142,6,3,660.37,198.111,858.481,85.8481,944.3291,717.6,1661.9291
158,6,3,676.18,202.854,879.034,87.9034,966.9374,717.6,1684.5374
174,6,3,691.92,207.576,899.496,89.9496,989.4456,717.6,1707.0456
190,6,3,713.04,213.912,926.952,92.6952,1019.6472,717.6,1737.2472
206,6,3,728.78,218.634,947.414,94.7414,1042.1554,717.6,1759.7554
222,6,3,744.6,223.38,967.98,96.798,1064.778,717.6,1782.378
238,6,3,760.33,228.099,988.429,98.8429,1087.2719,717.6,1804.8719
254,6,3,781.25,234.375,1015.625,101.5625,1117.1875,717.6,1834.7875
270,6,3,797.01,239.103,1036.113,103.6113,1139.7243,717.6,1857.3243
286,6,3,812.83,243.849,1056.679,105.6679,1162.3469,717.6,1879.9469
302,6,3,828.56,248.568,1077.128,107.7128,1184.8408,717.6,1902.4408
110,7,3,698.93,209.679,908.609,90.8609,999.4699,837.21,1836.6799
126,7,3,721.74,216.522,938.262,93.8262,1032.0882,837.21,1869.2982
142,7,3,738.37,221.511,959.881,95.9881,1055.8691,837.21,1893.0791
158,7,3,755.05,226.515,981.565,98.1565,1079.7215,837.21,1916.9315
174,7,3,771.65,231.495,1003.145,100.3145,1103.4595,837.21,1940.6695
190,7,3,794.51,238.353,1032.863,103.2863,1136.1493,837.21,1973.3593
206,7,3,811.11,243.333,1054.443,105.4443,1159.8873,837.21,1997.0973
222,7,3,827.8,248.34,1076.14,107.614,1183.754,837.21,2020.964
238,7,3,844.4,253.32,1097.72,109.772,1207.492,837.21,2044.702
254,7,3,867.05,260.115,1127.165,112.7165,1239.8815,837.21,2077.0915
270,7,3,883.68,265.104,1148.784,114.8784,1263.6624,837.21,2100.8724
286,7,3,900.36,270.108,1170.468,117.0468,1287.5148,837.21,2124.7248
302,7,3,916.96,275.088,1192.048,119.2048,1311.2528,837.21,2148.4628
