Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
270,7,1,1418.58,425.574,1844.154,184.4154,2028.5694,338.27,2366.8394
286,7,1,1436.45,430.935,1867.385,186.7385,2054.1235,338.27,2392.3935
302,7,1,1454.3,436.29,1890.59,189.059,2079.649,338.27,2417.919
110,5,2,927.12,278.136,1205.256,120.5256,1325.7816,554.67,1880.4516
126,5,2,947.57,284.271,1231.841,123.1841,1355.0251,554.67,1909.6951
142,5,2,963.71,289.113,1252.823,125.2823,1378.1053,554.67,1932.7753
158,5,2,979.83,293.949,1273.779,127.3779,1401.1569,554.67,1955.8269
174,5,2,995.95,298.785,1294.735,129.4735,1424.2085,554.67,1978.8785
190,5,2,1016.51,304.953,1321.463,132.1463,1453.6093,554.67,2008.2793
206,5,2,1032.63,309.789,1342.419,134.2419,1476.6609,554.67,2031.3309
222,5,2,1048.77,314.631,1363.401,136.3401,1499.7411,554.67,2054.4111
238,5,2,1064.89,319.467,1384.357,138.4357,1522.7927,554.67,2077.4627
254,5,2,1085.26,325.578,1410.838,141.0838,1551.9218,554.67,2106.5918
270,5,2,1101.38,330.414,1431.794,143.1794,1574.9734,554.67,2129.6434
286,5,2,1117.51,335.253,1452.763,145.2763,1598.0393,554.67,2152.7093
302,5,2,1133.64,340.092,1473.732,147.3732,1621.1052,554.67,2175.7752
110,6,2,1074.45,322.335,1396.785,139.6785,1536.4635,665.6,2202.0635
126,6,2,1096.64,328.992,1425.632,142.5632,1568.1952,665.6,2233.7952
142,6,2,1113.64,334.092,1447.732,144.7732,1592.5052,665.6,2258.1052
158,6,2,1130.63,339.189,1469.819,146.9819,1616.8009,665.6,2282.4009
174,6,2,1147.62,344.286,1491.906,149.1906,1641.0966,665.6,2306.6966
190,6,2,1169.91,350.973,1520.883,152.0883,1672.9713,665.6,2338.5713
206,6,2,1186.9,356.07,1542.97,154.297,1697.267,665.6,2362.867
222,6,2,1203.9,361.17,1565.07,156.507,1721.577,665.6,2387.177
238,6,2,1220.89,366.267,1587.157,158.7157,1745.8727,665.6,2411.4727
254,6,2,1242.99,372.897,1615.887,161.5887,1777.4757,665.6,2443.0757
270,6,2,1259.98,377.994,1637.974,163.7974,1801.7714,665.6,2467.3714
286,6,2,1276.98,383.094,1660.074,166.0074,1826.0814,665.6,2491.6814
302,6,2,1293.97,388.191,1682.161,168.2161,1850.3771,665.6,2515.9771
110,7,2,1221.78,366.534,1588.314,158.8314,1747.1454,776.53,2523.6754
126,7,2,1245.71,373.713,1619.423,161.9423,1781.3653,776.53,2557.8953
142,7,2,1263.57,379.071,1642.641,164.2641,1806.9051,776.53,2583.4351
158,7,2,1281.43,384.429,1665.859,166.5859,1832.4449,776.53,2608.9749
174,7,2,1299.29,389.787,1689.077,168.9077,1857.9847,776.53,2634.5147
190,7,2,1323.31,396.993,1720.303,172.0303,1892.3333,776.53,2668.8633
206,7,2,1341.17,402.351,1743.521,174.3521,1917.8731,776.53,2694.4031
222,7,2,1359.03,407.709,1766.739,176.6739,1943.4129,776.53,2719.9429
238,7,2,1376.89,413.067,1789.957,178.9957,1968.9527,776.53,2745.4827
254,7,2,1400.72,420.216,1820.936,182.0936,2003.0296,776.53,2779.5596
270,7,2,1418.58,425.574,1844.154,184.4154,2028.5694,776.53,2805.0994
286,7,2,1436.45,430.935,1867.385,186.7385,2054.1235,776.53,2830.6535
302,7,2,1454.3,436.29,1890.59,189.059,2079.649,776.53,2856.179
110,5,3,927.12,278.136,1205.256,120.5256,1325.7816,832.0,2157.7816
126,5,3,947.57,284.271,1231.841,123.1841,1355.0251,832.0,2187.0251
142,5,3,963.71,289.113,1252.823,125.2823,1378.1053,832.0,2210.1053
158,5,3,979.83,293.949,1273.779,127.3779,1401.1569,832.0,2233.1569
174,5,3,995.95,298.785,1294.735,129.4735,1424.2085,832.0,2256.2085
190,5,3,1016.51,304.953,1321.463,132.1463,1453.6093,832.0,2285.6093
206,5,3,1032.63,309.789,1342.419,134.2419,1476.6609,832.0,2308.6609
222,5,3,1048.77,314.631,1363.401,136.3401,1499.7411,832.0,2331.7411
238,5,3,1064.89,319.467,1384.357,138.4357,1522.7927,832.0,2354.7927
254,5,3,1085.26,325.578,1410.838,141.0838,1551.9218,832.0,2383.9218
270,5,3,1101.38,330.414,1431.794,143.1794,1574.9734,832.0,2406.9734
286,5,3,1117.51,335.253,1452.763,145.2763,1598.0393,832.0,2430.0393
302,5,3,1133.64,340.092,1473.732,147.3732,1621.1052,832.0,2453.1052
110,6,3,1074.45,322.335,1396.785,139.6785,1536.4635,998.4,2534.8635
126,6,3,1096.64,328.992,1425.632,142.5632,1568.1952,998.4,2566.5952
142,6,3,1113.64,334.092,1447.732,144.7732,1592.5052,998.4,2590.9052
158,6,3,1130.63,339.189,1469.819,146.9819,1616.8009,998.4,2615.2009
174,6,3,1147.62,344.286,1491.906,149.1906,1641.0966,998.4,2639.4966
190,6,3,1169.91,350.973,1520.883,152.0883,1672.9713,998.4,2671.3713
206,6,3,1186.9,356.07,1542.97,154.297,1697.267,998.4,2695.667
222,6,3,1203.9,361.17,1565.07,156.507,1721.577,998.4,2719.977
238,6,3,1220.89,366.267,1587.157,158.7157,1745.8727,998.4,2744.2727
254,6,3,1242.99,372.897,1615.887,161.5887,1777.4757,998.4,2775.8757
270,6,3,1259.98,377.994,1637.974,163.7974,1801.7714,998.4,2800.1714
286,6,3,1276.98,383.094,1660.074,166.0074,1826.0814,998.4,2824.4814
302,6,3,1293.97,388.191,1682.161,168.2161,1850.3771,998.4,2848.7771
110,7,3,1221.78,366.534,1588.314,158.8314,1747.1454,1164.8,2911.9454
126,7,3,1245.71,373.713,1619.423,161.9423,1781.3653,1164.8,2946.1653
142,7,3,1263.57,379.071,1642.641,164.2641,1806.9051,1164.8,2971.7051
158,7,3,1281.43,384.429,1665.859,166.5859,1832.4449,1164.8,2997.2449
174,7,3,1299.29,389.787,1689.077,168.9077,1857.9847,1164.8,3022.7847
190,7,3,1323.31,396.993,1720.303,172.0303,1892.3333,1164.8,3057.1333
206,7,3,1341.17,402.351,1743.521,174.3521,1917.8731,1164.8,3082.6731
222,7,3,1359.03,407.709,1766.739,176.6739,1943.4129,1164.8,3108.2129
238,7,3,1376.89,413.067,1789.957,178.9957,1968.9527,1164.8,3133.7527
254,7,3,1400.72,420.216,1820.936,182.0936,2003.0296,1164.8,3167.8296
270,7,3,1418.58,425.574,1844.154,184.4154,2028.5694,1164.8,3193.3694
286,7,3,1436.45,430.935,1867.385,186.7385,2054.1235,1164.8,3218.9235
302,7,3,1454.3,436.29,1890.59,189.059,2079.649,1164.8,3244.449
